"","Host","Pathogen","PathogenType","Dataset"
"202","Aepyceros_melampus","Bovine_respirovirus_3","Virus","GMPD"
"203","Aepyceros_melampus","Bovine_respirovirus_3","Virus","Shaw"
"204","Aepyceros_melampus","Bovine_viral_diarrhea_virus_1","Virus","HP3"
"205","Aepyceros_melampus","Bovine_viral_diarrhea_virus_1","Virus","GMPD"
"207","Aepyceros_melampus","Bovine_viral_diarrhea_virus_1","Virus","Shaw"
"208","Aepyceros_melampus","Brucella_abortus","Bacteria","GMPD"
"209","Aepyceros_melampus","Clostridium_tetani","Bacteria","Shaw"
"210","Aepyceros_melampus","Cooperia_connochaeti","Helminth","GMPD"
"214","Aepyceros_melampus","Cooperia_fuelleborni","Helminth","GMPD"
"224","Aepyceros_melampus","Cooperia_hungi","Helminth","GMPD"
"238","Aepyceros_melampus","Cooperia_neitzi","Helminth","GMPD"
"245","Aepyceros_melampus","Cooperia_rotundispiculum","Helminth","GMPD"
"246","Aepyceros_melampus","Cooperia_verrucosa","Helminth","GMPD"
"247","Aepyceros_melampus","Cooperia_yoshidai","Helminth","GMPD"
"248","Aepyceros_melampus","Cooperioides_hamiltoni","Helminth","GMPD"
"266","Aepyceros_melampus","Cooperioides_hepaticae","Helminth","GMPD"
"286","Aepyceros_melampus","Cotylophoron_cotylophorum","Helminth","GMPD"
"287","Aepyceros_melampus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","GMPD"
"288","Aepyceros_melampus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","Shaw"
"289","Aepyceros_melampus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","HP3"
"290","Aepyceros_melampus","Damalinia_aepycerus","Arthropod","GMPD"
"305","Aepyceros_melampus","Damalinia_elongata","Arthropod","GMPD"
"321","Aepyceros_melampus","Dictyocaulus_viviparus","Helminth","GMPD"
"322","Aepyceros_melampus","Ehrlichia_ruminantium","Bacteria","GMPD"
"323","Aepyceros_melampus","Escherichia_coli","Bacteria","GMPD"
"324","Aepyceros_melampus","Fasciola_gigantica","Helminth","GMPD"
"326","Aepyceros_melampus","Fasciola_hepatica","Helminth","GMPD"
"327","Aepyceros_melampus","Foot-and-mouth_disease_virus","Virus","HP3"
"328","Aepyceros_melampus","Foot-and-mouth_disease_virus","Virus","GMPD"
"341","Aepyceros_melampus","Foot-and-mouth_disease_virus","Virus","EID2"
"342","Aepyceros_melampus","Foot-and-mouth_disease_virus","Virus","Shaw"
"343","Aepyceros_melampus","Fusobacterium_necrophorum","Bacteria","Shaw"
"344","Aepyceros_melampus","Gaigeria_pachyscelis","Helminth","GMPD"
"352","Aepyceros_melampus","Haemaphysalis_aciculifer","Arthropod","GMPD"
"353","Aepyceros_melampus","Haemaphysalis_leachi","Arthropod","GMPD"
"354","Aepyceros_melampus","Haemonchus_bedfordi","Helminth","GMPD"
"361","Aepyceros_melampus","Haemonchus_contortus","Helminth","GMPD"
"368","Aepyceros_melampus","Haemonchus_krugeri","Helminth","GMPD"
"381","Aepyceros_melampus","Haemonchus_vegliai","Helminth","GMPD"
"387","Aepyceros_melampus","Hippobosca_fulva","Arthropod","GMPD"
"392","Aepyceros_melampus","Hyalomma_marginatum","Arthropod","GMPD"
"393","Aepyceros_melampus","Hyalomma_marginatum","Arthropod","EID2"
"394","Aepyceros_melampus","Hyalomma_truncatum","Arthropod","GMPD"
"395","Aepyceros_melampus","Identified_to_genus","Virus","GMPD"
"396","Aepyceros_melampus","Impalaia_tuberculata","Helminth","GMPD"
"411","Aepyceros_melampus","Ixodes_cavipalpus","Arthropod","GMPD"
"412","Aepyceros_melampus","Leptospira_interrogans","Bacteria","GMPD"
"413","Aepyceros_melampus","Linognathus_aepyceros","Arthropod","GMPD"
"430","Aepyceros_melampus","Linognathus_nevilli","Arthropod","GMPD"
"445","Aepyceros_melampus","Linognathus_weisseri","Arthropod","GMPD"
"453","Aepyceros_melampus","Lipoptena_paradoxa","Arthropod","GMPD"
"457","Aepyceros_melampus","Longistrongylus_curvispiculum","Helminth","GMPD"
"458","Aepyceros_melampus","Longistrongylus_sabie","Helminth","GMPD"
"474","Aepyceros_melampus","Longistrongylus_schrenki","Helminth","GMPD"
"476","Aepyceros_melampus","Lumpy_skin_disease_virus","Virus","HP3"
"477","Aepyceros_melampus","Lumpy_skin_disease_virus","Virus","Shaw"
"478","Aepyceros_melampus","Moniezia_benedeni","Helminth","GMPD"
"479","Aepyceros_melampus","Moniezia_expansa","Helminth","GMPD"
"481","Aepyceros_melampus","Mycobacterium_tuberculosis_variant_bovis","Bacteria","Shaw"
"482","Aepyceros_melampus","Oesophagostomum_columbianum","Helminth","GMPD"
"496","Aepyceros_melampus","Pneumostrongylus_calcaratus","Helminth","GMPD"
"501","Aepyceros_melampus","Rhipicephalus_appendiculatus","Arthropod","GMPD"
"521","Aepyceros_melampus","Rhipicephalus_decoloratus","Arthropod","GMPD"
"552","Aepyceros_melampus","Rhipicephalus_evertsi","Arthropod","GMPD"
"578","Aepyceros_melampus","Rhipicephalus_kochi","Arthropod","GMPD"
"581","Aepyceros_melampus","Rhipicephalus_lunulatus","Arthropod","GMPD"
"584","Aepyceros_melampus","Rhipicephalus_muehlensi","Arthropod","GMPD"
"589","Aepyceros_melampus","Rhipicephalus_pravus","Arthropod","GMPD"
"590","Aepyceros_melampus","Rhipicephalus_simus","Arthropod","GMPD"
"594","Aepyceros_melampus","Rhipicephalus_sulcatus","Arthropod","GMPD"
"595","Aepyceros_melampus","Rhipicephalus_zambeziensis","Arthropod","GMPD"
"606","Aepyceros_melampus","Rhodococcus_hoagii","Bacteria","GMPD"
"607","Aepyceros_melampus","Rift_Valley_fever_virus","Virus","Shaw"
"608","Aepyceros_melampus","Rift_Valley_fever_virus","Virus","HP3"
"609","Aepyceros_melampus","Rift_Valley_fever_virus","Virus","GMPD"
"610","Aepyceros_melampus","Rinderpest_morbillivirus","Virus","HP3"
"611","Aepyceros_melampus","Rotavirus_A","Virus","Shaw"
"612","Aepyceros_melampus","Sarcocystis_melampi","Protozoa","GMPD"
"613","Aepyceros_melampus","Stilesia_hepatica","Helminth","GMPD"
"620","Aepyceros_melampus","Strongyloides_papillosus","Helminth","GMPD"
"630","Aepyceros_melampus","Thysaniezia_giardi","Helminth","GMPD"
"631","Aepyceros_melampus","Toxocara_vitulorum","Helminth","GMPD"
"632","Aepyceros_melampus","Trichostrongylus_angistris","Helminth","GMPD"
"633","Aepyceros_melampus","Trichostrongylus_axei","Helminth","GMPD"
"634","Aepyceros_melampus","Trichostrongylus_colubriformis","Helminth","GMPD"
"641","Aepyceros_melampus","Trichostrongylus_deflexus","Helminth","GMPD"
"649","Aepyceros_melampus","Trichostrongylus_falculatus","Helminth","GMPD"
"662","Aepyceros_melampus","Trichostrongylus_instabilis","Helminth","GMPD"
"663","Aepyceros_melampus","Trichostrongylus_thomasi","Helminth","GMPD"
"676","Aepyceros_melampus","Trichuris_globulosa","Helminth","GMPD"
"677","Aethomys_kaiseri","West_Nile_virus","Virus","Shaw"
"678","Aethomys_kaiseri","Witwatersrand_virus","Virus","HP3"
"679","Ailuropoda_melanoleuca","Alphacoronavirus_1","Virus","EID2"
"680","Ailuropoda_melanoleuca","Alphacoronavirus_1","Virus","Shaw"
"681","Ailuropoda_melanoleuca","Ascaridia_schroederii","Helminth","GMPD"
"682","Ailuropoda_melanoleuca","Baylisascaris_schroederi","Helminth","EID2"
"683","Ailuropoda_melanoleuca","Canine_morbillivirus","Virus","EID2"
"684","Ailuropoda_melanoleuca","Canine_morbillivirus","Virus","Shaw"
"685","Ailuropoda_melanoleuca","Escherichia_coli","Bacteria","EID2"
"686","Ailuropoda_melanoleuca","Feline_panleukopenia_virus","Virus","Shaw"
"687","Ailuropoda_melanoleuca","Klebsiella_oxytoca","Bacteria","Shaw"
"688","Ailuropoda_melanoleuca","Rotavirus_A","Virus","EID2"
"689","Ailuropoda_melanoleuca","Rotavirus_A","Virus","Shaw"
"690","Ailuropoda_melanoleuca","Streptococcus_dysgalactiae","Bacteria","EID2"
"691","Ailurus_fulgens","Baylisascaris_ailuri","Helminth","EID2"
"692","Ailurus_fulgens","Canine_morbillivirus","Virus","EID2"
"693","Ailurus_fulgens","Canine_morbillivirus","Virus","Shaw"
"694","Ailurus_fulgens","Chromobacterium_violaceum","Bacteria","Shaw"
"695","Ailurus_fulgens","Clostridium_piliforme","Bacteria","Shaw"
"696","Ailurus_fulgens","Cowpox_virus","Virus","EID2"
"697","Ailurus_fulgens","Cowpox_virus","Virus","Shaw"
"698","Ailurus_fulgens","Dirofilaria_immitis","Helminth","EID2"
"699","Ailurus_fulgens","Feline_panleukopenia_virus","Virus","Shaw"
"700","Ailurus_fulgens","Feline_panleukopenia_virus","Virus","EID2"
"701","Ailurus_fulgens","West_Nile_virus","Virus","Shaw"
"702","Ailurus_fulgens","Yersinia_enterocolitica","Bacteria","Shaw"
"703","Akodon_azarae","Andes_orthohantavirus","Virus","Shaw"
"704","Akodon_azarae","Andes_orthohantavirus","Virus","HP3"
"705","Akodon_azarae","Argentinian_mammarenavirus","Virus","Shaw"
"706","Akodon_azarae","Argentinian_mammarenavirus","Virus","HP3"
"707","Akodon_azarae","Oliveros_mammarenavirus","Virus","Shaw"
"708","Akodon_azarae","Pixuna_virus","Virus","HP3"
"709","Akodon_azarae","Pixuna_virus","Virus","Shaw"
"710","Akodon_azarae","Rio_Negro_virus","Virus","Shaw"
"711","Akodon_cursor","Andes_orthohantavirus","Virus","Shaw"
"712","Akodon_dolores","Amblyomma_tigrinum","Arthropod","EID2"
"713","Akodon_montensis","Andes_orthohantavirus","Virus","Shaw"
"714","Akodon_montensis","Andes_orthohantavirus","Virus","HP3"
"715","Akodon_montensis","Andes_orthohantavirus","Virus","EID2"
"716","Akodon_montensis","Anopheles_B_orthobunyavirus","Virus","Shaw"
"717","Akodon_montensis","Besnoitia_akodoni","Protozoa","EID2"
"718","Akodon_montensis","Saint_Louis_encephalitis_virus","Virus","HP3"
"719","Akodon_montensis","Saint_Louis_encephalitis_virus","Virus","Shaw"
"720","Akodon_paranaensis","Andes_orthohantavirus","Virus","Shaw"
"721","Akodon_paranaensis","Andes_orthohantavirus","Virus","HP3"
"722","Akodon_simulator","Laguna_Negra_orthohantavirus","Virus","Shaw"
"723","Akodon_simulator","Laguna_Negra_orthohantavirus","Virus","HP3"
"724","Akodon_simulator","Laguna_Negra_orthohantavirus","Virus","EID2"
"725","Akodon_varius","Andes_orthohantavirus","Virus","Shaw"
"726","Akodon_varius","Andes_orthohantavirus","Virus","HP3"
"727","Alcelaphus_buselaphus","Agriostomum_cursoni","Helminth","GMPD"
"728","Alcelaphus_buselaphus","Akabane_virus","Virus","Shaw"
"729","Alcelaphus_buselaphus","Akabane_virus","Virus","HP3"
"730","Alcelaphus_buselaphus","Akabane_virus","Virus","GMPD"
"731","Alcelaphus_buselaphus","Alcelaphine_gammaherpesvirus_2","Virus","Shaw"
"732","Alcelaphus_buselaphus","Alcelaphine_gammaherpesvirus_2","Virus","HP3"
"733","Alcelaphus_buselaphus","Bacillus_anthracis","Bacteria","Shaw"
"734","Alcelaphus_buselaphus","Bluetongue_virus","Virus","HP3"
"735","Alcelaphus_buselaphus","Bluetongue_virus","Virus","GMPD"
"736","Alcelaphus_buselaphus","Bluetongue_virus","Virus","Shaw"
"737","Alcelaphus_buselaphus","Bovine_alphaherpesvirus_1","Virus","Shaw"
"738","Alcelaphus_buselaphus","Bovine_alphaherpesvirus_2","Virus","GMPD"
"739","Alcelaphus_buselaphus","Bovine_ephemeral_fever_virus","Virus","GMPD"
"740","Alcelaphus_buselaphus","Bovine_ephemeral_fever_virus","Virus","Shaw"
"741","Alcelaphus_buselaphus","Bovine_respirovirus_3","Virus","Shaw"
"742","Alcelaphus_buselaphus","Bovine_viral_diarrhea_virus_1","Virus","HP3"
"743","Alcelaphus_buselaphus","Bovine_viral_diarrhea_virus_1","Virus","Shaw"
"744","Alcelaphus_buselaphus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","GMPD"
"745","Alcelaphus_buselaphus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","Shaw"
"746","Alcelaphus_buselaphus","Crimean-Congo_hemorrhagic_fever_orthonairovirus","Virus","HP3"
"747","Alcelaphus_buselaphus","Foot-and-mouth_disease_virus","Virus","HP3"
"748","Alcelaphus_buselaphus","Foot-and-mouth_disease_virus","Virus","GMPD"
"752","Alcelaphus_buselaphus","Foot-and-mouth_disease_virus","Virus","Shaw"
"753","Alcelaphus_buselaphus","Haemonchus_bedfordi","Helminth","GMPD"
"754","Alcelaphus_buselaphus","Haemonchus_contortus","Helminth","GMPD"
"755","Alcelaphus_buselaphus","Impalaia_nudicollis","Helminth","GMPD"
"756","Alcelaphus_buselaphus","Impalaia_tuberculata","Helminth","GMPD"
"757","Alcelaphus_buselaphus","Nematodirus_spathiger","Helminth","GMPD"
"758","Alcelaphus_buselaphus","Oesophagostomum_columbianum","Helminth","GMPD"
"759","Alcelaphus_buselaphus","Ovine_gammaherpesvirus_2","Virus","HP3"
"760","Alcelaphus_buselaphus","Protostrongylus_africanus","Helminth","GMPD"
"761","Alcelaphus_buselaphus","Rhipicephalus_evertsi","Arthropod","GMPD"
"763","Alcelaphus_buselaphus","Rhipicephalus_glabroscutatus","Arthropod","GMPD"
"764","Alcelaphus_buselaphus","Rhipicephalus_pulchellus","Arthropod","GMPD"
"765","Alcelaphus_buselaphus","Rinderpest_morbillivirus","Virus","GMPD"
"766","Alcelaphus_buselaphus","Teladorsagia_circumcincta","Helminth","GMPD"
"767","Alcelaphus_buselaphus","Trichostrongylus_auriculatus","Helminth","GMPD"
"768","Alcelaphus_buselaphus","Trichostrongylus_falculatus","Helminth","GMPD"
"769","Alcelaphus_buselaphus","Trichuris_ovis","Helminth","GMPD"
"770","Alcelaphus_buselaphus","Trypanosoma_brucei","Protozoa","GMPD"
"772","Alcelaphus_buselaphus","Trypanosoma_vivax","Protozoa","GMPD"
"773","Alcelaphus_lichtensteinii","Bovine_viral_diarrhea_virus_1","Virus","GMPD"
"774","Alcelaphus_lichtensteinii","Haemonchus_contortus","Helminth","GMPD"
"775","Alces_alces","Alcelaphine_gammaherpesvirus_1","Virus","GMPD"
"781","Alces_alces","Anaplasma_phagocytophilum","Bacteria","GMPD"
"788","Alces_alces","Anaplasma_phagocytophilum","Bacteria","Shaw"
"789","Alces_alces","Bacillus_anthracis","Bacteria","GMPD"
"790","Alces_alces","Bacillus_anthracis","Bacteria","Shaw"
"791","Alces_alces","Borreliella_burgdorferi","Bacteria","Shaw"
"792","Alces_alces","Bovine_alphaherpesvirus_1","Virus","GMPD"
"794","Alces_alces","Bovine_alphaherpesvirus_1","Virus","HP3"
"795","Alces_alces","Bovine_respirovirus_3","Virus","Shaw"
"796","Alces_alces","Bovine_viral_diarrhea_virus_1","Virus","HP3"
"797","Alces_alces","Bovine_viral_diarrhea_virus_1","Virus","GMPD"
"806","Alces_alces","Brucella_abortus","Bacteria","Shaw"
"807","Alces_alces","Brucella_suis","Bacteria","GMPD"
"810","Alces_alces","Brucella_suis","Bacteria","Shaw"
"811","Alces_alces","Bunostomum_trigonocephalum","Helminth","GMPD"
"812","Alces_alces","Bunyamwera_orthobunyavirus","Virus","Shaw"
"813","Alces_alces","California_encephalitis_orthobunyavirus","Virus","GMPD"
"822","Alces_alces","California_encephalitis_orthobunyavirus","Virus","Shaw"
"823","Alces_alces","Caprine_gammaherpesvirus_2","Virus","GMPD"
"824","Alces_alces","Caprine_gammaherpesvirus_2","Virus","Shaw"
"825","Alces_alces","Caprine_gammaherpesvirus_2","Virus","EID2"
"826","Alces_alces","Coxiella_burnetii","Bacteria","Shaw"
"827","Alces_alces","Cryptosporidium_parvum","Protozoa","GMPD"
"835","Alces_alces","Deltapapillomavirus_1","Virus","Shaw"
"836","Alces_alces","Deltapapillomavirus_1","Virus","HP3"
"837","Alces_alces","Dermacentor_albipictus","Arthropod","GMPD"
"854","Alces_alces","Dermacentor_albipictus","Arthropod","EID2"
"855","Alces_alces","Dictyocaulus_capreolus","Helminth","GMPD"
"858","Alces_alces","Dictyocaulus_capreolus","Helminth","EID2"
"859","Alces_alces","Dictyocaulus_eckerti","Helminth","GMPD"
"862","Alces_alces","Dictyocaulus_eckerti","Helminth","EID2"
"863","Alces_alces","Dictyocaulus_viviparus","Helminth","GMPD"
"866","Alces_alces","Echinococcus_canadensis","Helminth","EID2"
"867","Alces_alces","Echinococcus_granulosus","Helminth","GMPD"
"872","Alces_alces","Echinococcus_granulosus","Helminth","EID2"
"873","Alces_alces","Elaphostrongylus_alces","Helminth","GMPD"
"881","Alces_alces","Elaphostrongylus_alces","Helminth","EID2"
"882","Alces_alces","Elaphostrongylus_cervi","Helminth","GMPD"
"893","Alces_alces","Elaphostrongylus_rangiferi","Helminth","GMPD"
"896","Alces_alces","Erysipelothrix_rhusiopathiae","Bacteria","GMPD"
"900","Alces_alces","Erysipelothrix_rhusiopathiae","Bacteria","Shaw"
"901","Alces_alces","Escherichia_coli","Bacteria","GMPD"
"902","Alces_alces","Fasciola_hepatica","Helminth","GMPD"
"905","Alces_alces","Fascioloides_magna","Helminth","GMPD"
"912","Alces_alces","Francisella_tularensis","Bacteria","Shaw"
"913","Alces_alces","Fusobacterium_necrophorum","Bacteria","GMPD"
"914","Alces_alces","Giardia_intestinalis","Protozoa","GMPD"
"921","Alces_alces","Giardia_intestinalis","Protozoa","EID2"
"922","Alces_alces","Ixodes_ricinus","Arthropod","GMPD"
"926","Alces_alces","Ixodes_ricinus","Arthropod","EID2"
"927","Alces_alces","Klebsiella_pneumoniae","Bacteria","GMPD"
"928","Alces_alces","Leptospira_interrogans","Bacteria","GMPD"
"934","Alces_alces","Liorchis_scotiae","Helminth","GMPD"
"935","Alces_alces","Moniezia_benedeni","Helminth","GMPD"
"936","Alces_alces","Moniezia_expansa","Helminth","GMPD"
"937","Alces_alces","Moraxella_ovis","Bacteria","GMPD"
"943","Alces_alces","Moraxella_ovis","Bacteria","Shaw"
"944","Alces_alces","Mycobacterium_avium","Bacteria","GMPD"
"948","Alces_alces","Mycobacterium_avium","Bacteria","Shaw"
"949","Alces_alces","Mycobacterium_tuberculosis_variant_bovis","Bacteria","Shaw"
"950","Alces_alces","Nematodirella_alcidis","Helminth","GMPD"
"951","Alces_alces","Oesophagostomum_venulosum","Helminth","GMPD"
"952","Alces_alces","Orthohepevirus_A","Virus","Shaw"
"953","Alces_alces","Ostertagia_leptospicularis","Helminth","GMPD"
"954","Alces_alces","Ovine_gammaherpesvirus_2","Virus","GMPD"
"955","Alces_alces","Ovine_gammaherpesvirus_2","Virus","Shaw"
"956","Alces_alces","Ovine_gammaherpesvirus_2","Virus","HP3"
"957","Alces_alces","Ovine_gammaherpesvirus_2","Virus","EID2"
"958","Alces_alces","Parafasciolopsis_fasciolaemorpha","Helminth","GMPD"
"959","Alces_alces","Paramphistomum_cervi","Helminth","GMPD"
"961","Alces_alces","Paramphistomum_ichikawai","Helminth","GMPD"
"962","Alces_alces","Parelaphostrongylus_tenuis","Helminth","GMPD"
"989","Alces_alces","Parelaphostrongylus_tenuis","Helminth","EID2"
"990","Alces_alces","Pasteurella_multocida","Bacteria","GMPD"
"991","Alces_alces","Saint_Louis_encephalitis_virus","Virus","HP3"
"992","Alces_alces","Saint_Louis_encephalitis_virus","Virus","Shaw"
"993","Alces_alces","Sarcocystis_alces","Protozoa","GMPD"
"994","Alces_alces","Sarcocystis_alces","Protozoa","EID2"
"995","Alces_alces","Sarcocystis_alceslatrans","Protozoa","GMPD"
"996","Alces_alces","Sarcocystis_alceslatrans","Protozoa","EID2"
"997","Alces_alces","Sarcocystis_ovalis","Protozoa","GMPD"
"999","Alces_alces","Sarcocystis_ovalis","Protozoa","EID2"
"1000","Alces_alces","Sarcocystis_scandinavica","Protozoa","GMPD"
"1001","Alces_alces","Sarcocystis_scandinavica","Protozoa","EID2"
"1002","Alces_alces","Setaria_tundra","Helminth","EID2"
"1003","Alces_alces","Sp.culopteragia_alicis","Helminth","GMPD"
"1005","Alces_alces","Taenia_hydatigena","Helminth","GMPD"
"1007","Alces_alces","Thysanosoma_actinioides","Helminth","GMPD"
"1008","Alces_alces","Tick-borne_encephalitis_virus","Virus","GMPD"
"1009","Alces_alces","Toxoplasma_gondii","Protozoa","GMPD"
"1021","Alces_alces","Trichuris_discolor","Helminth","GMPD"
"1022","Alces_alces","Trichuris_ovis","Helminth","GMPD"
"1024","Alces_alces","Trypanosoma_cervi","Protozoa","GMPD"
"1027","Alces_alces","Varestrongylus_alces","Helminth","GMPD"
"1030","Alces_alces","Zygocotyle_lunata","Helminth","GMPD"
"1031","Alces_americanus","Chronic_wasting_disease_prion_protein","Prion","GMPD"
"1034","Alces_americanus","Eastern_equine_encephalitis_virus","Virus","Shaw"
"1035","Alces_americanus","Echinococcus_canadensis","Helminth","EID2"
"1036","Alces_americanus","Ovine_gammaherpesvirus_2","Virus","EID2"
"1037","Allactaga_sibirica","Yersinia_pestis","Bacteria","Shaw"
"1038","Allenopithecus_nigroviridis","Monkeypox_virus","Virus","GMPD"
"1039","Allenopithecus_nigroviridis","Monkeypox_virus","Virus","Shaw"
"1040","Allenopithecus_nigroviridis","Paracoroptes_allenopitheci","Arthropod","GMPD"
"1041","Allenopithecus_nigroviridis","Pneumocystis_carinii","Fungus","EID2"
"1042","Allenopithecus_nigroviridis","Primate_T-lymphotropic_virus_1","Virus","Shaw"
"1043","Allenopithecus_nigroviridis","Simian_foamy_virus","Virus","HP3"
