"","Host","Pathogen","PathogenType","Dataset"
"1","Abrothrix_longipilis","Andes_orthohantavirus","Virus","HP3"
"2","Abrothrix_longipilis","Andes_orthohantavirus","Virus","EID2"
"3","Abrothrix_longipilis","Ixodes_sigelos","Arthropod","EID2"
"4","Abrothrix_olivaceus","Andes_orthohantavirus","Virus","Shaw"
"5","Abrothrix_olivaceus","Andes_orthohantavirus","Virus","HP3"
"6","Abrothrix_olivaceus","Ixodes_abrocomae","Arthropod","EID2"
"7","Abrothrix_olivaceus","Ixodes_sigelos","Arthropod","EID2"
"8","Abrothrix_sanborni","Andes_orthohantavirus","Virus","HP3"
"9","Acinonyx_jubatus","African_horse_sickness_virus","Virus","HP3"
"10","Acinonyx_jubatus","African_horse_sickness_virus","Virus","Shaw"
"11","Acinonyx_jubatus","Alphacoronavirus_1","Virus","GMPD"
"30","Acinonyx_jubatus","Alphacoronavirus_1","Virus","Shaw"
"31","Acinonyx_jubatus","Babesia_lengau","Protozoa","EID2"
"32","Acinonyx_jubatus","Bacillus_anthracis","Bacteria","GMPD"
"33","Acinonyx_jubatus","Bacillus_anthracis","Bacteria","Shaw"
"34","Acinonyx_jubatus","Bartonella_henselae","Bacteria","GMPD"
"42","Acinonyx_jubatus","Bartonella_henselae","Bacteria","Shaw"
"43","Acinonyx_jubatus","Bluetongue_virus","Virus","HP3"
"44","Acinonyx_jubatus","Bluetongue_virus","Virus","Shaw"
"45","Acinonyx_jubatus","Canine_morbillivirus","Virus","GMPD"
"61","Acinonyx_jubatus","Cardiovirus_A","Virus","Shaw"
"62","Acinonyx_jubatus","Clostridium_perfringens","Bacteria","Shaw"
"63","Acinonyx_jubatus","Cowpox_virus","Virus","EID2"
"64","Acinonyx_jubatus","Cowpox_virus","Virus","Shaw"
"65","Acinonyx_jubatus","Cryptococcus_gattii_VGI","Fungus","GMPD"
"66","Acinonyx_jubatus","Cryptococcus_gattii_VGI","Fungus","EID2"
"67","Acinonyx_jubatus","Felid_alphaherpesvirus_1","Virus","GMPD"
"80","Acinonyx_jubatus","Felid_alphaherpesvirus_1","Virus","Shaw"
"81","Acinonyx_jubatus","Feline_calicivirus","Virus","HP3"
"82","Acinonyx_jubatus","Feline_calicivirus","Virus","GMPD"
"99","Acinonyx_jubatus","Feline_calicivirus","Virus","EID2"
"100","Acinonyx_jubatus","Feline_calicivirus","Virus","Shaw"
"101","Acinonyx_jubatus","Feline_coronavirus","Virus","HP3"
"102","Acinonyx_jubatus","Feline_immunodeficiency_virus","Virus","GMPD"
"104","Acinonyx_jubatus","Feline_immunodeficiency_virus","Virus","EID2"
"105","Acinonyx_jubatus","Feline_immunodeficiency_virus","Virus","Shaw"
"106","Acinonyx_jubatus","Feline_leukemia_virus","Virus","Shaw"
"107","Acinonyx_jubatus","Feline_panleukopenia_virus","Virus","GMPD"
"126","Acinonyx_jubatus","Feline_panleukopenia_virus","Virus","Shaw"
"127","Acinonyx_jubatus","Helicobacter_acinonychis","Bacteria","EID2"
"128","Acinonyx_jubatus","Helicobacter_acinonychis","Bacteria","Shaw"
"129","Acinonyx_jubatus","Helicobacter_heilmannii","Bacteria","EID2"
"130","Acinonyx_jubatus","Influenza_A_virus","Virus","EID2"
"131","Acinonyx_jubatus","Mamastrovirus_2","Virus","HP3"
"132","Acinonyx_jubatus","Mamastrovirus_2","Virus","Shaw"
"133","Acinonyx_jubatus","Mycobacterium_tuberculosis_variant_bovis","Bacteria","GMPD"
"134","Acinonyx_jubatus","Mycobacterium_tuberculosis_variant_bovis","Bacteria","Shaw"
"135","Acinonyx_jubatus","Neospora_caninum","Protozoa","GMPD"
"136","Acinonyx_jubatus","Rabies_lyssavirus","Virus","GMPD"
"137","Acinonyx_jubatus","Rabies_lyssavirus","Virus","Shaw"
"138","Acinonyx_jubatus","Rabies_lyssavirus","Virus","HP3"
"139","Acinonyx_jubatus","Rift_Valley_fever_virus","Virus","Shaw"
"140","Acinonyx_jubatus","Trichinella_nelsoni","Helminth","GMPD"
"141","Acomys_cahirinus","Bartonella_elizabethae","Bacteria","Shaw"
"142","Acomys_cahirinus","Rift_Valley_fever_virus","Virus","Shaw"
"143","Acomys_cahirinus","West_Nile_virus","Virus","Shaw"
"144","Acomys_dimidiatus","West_Nile_virus","Virus","Shaw"
"145","Acomys_johannis","Trypanosoma_lewisi","Protozoa","EID2"
"146","Acomys_russatus","Bartonella_acomydis","Bacteria","Shaw"
"147","Acomys_spinosissimus","Listrophoroides_uranomys","Arthropod","EID2"
"148","Addax_nasomaculatus","Bluetongue_virus","Virus","Shaw"
"149","Addax_nasomaculatus","Longistrongylus_curvispiculum","Helminth","GMPD"
"150","Addax_nasomaculatus","Rotavirus_A","Virus","Shaw"
"151","Aepyceros_melampus","Agriostomum_gorgonis","Helminth","GMPD"
"152","Aepyceros_melampus","Akabane_virus","Virus","Shaw"
"153","Aepyceros_melampus","Akabane_virus","Virus","HP3"
"154","Aepyceros_melampus","Alcelaphine_gammaherpesvirus_2","Virus","HP3"
"155","Aepyceros_melampus","Amblyomma_hebraeum","Arthropod","GMPD"
"173","Aepyceros_melampus","Amblyomma_marmoreum","Arthropod","GMPD"
"183","Aepyceros_melampus","Amblyomma_tholloni","Arthropod","GMPD"
"184","Aepyceros_melampus","Amblyomma_variegatum","Arthropod","GMPD"
"185","Aepyceros_melampus","Anaplasma_marginale","Bacteria","Shaw"
"186","Aepyceros_melampus","Anaplasma_platys","Bacteria","GMPD"
"187","Aepyceros_melampus","Bacillus_anthracis","Bacteria","GMPD"
"189","Aepyceros_melampus","Bacillus_anthracis","Bacteria","Shaw"
"190","Aepyceros_melampus","Bluetongue_virus","Virus","HP3"
"191","Aepyceros_melampus","Bluetongue_virus","Virus","GMPD"
"194","Aepyceros_melampus","Bluetongue_virus","Virus","Shaw"
"195","Aepyceros_melampus","Bovine_alphaherpesvirus_1","Virus","GMPD"
"197","Aepyceros_melampus","Bovine_alphaherpesvirus_1","Virus","Shaw"
"198","Aepyceros_melampus","Bovine_ephemeral_fever_virus","Virus","GMPD"
"200","Aepyceros_melampus","Bovine_ephemeral_fever_virus","Virus","Shaw"
"201","Aepyceros_melampus","Bovine_orthopneumovirus","Virus","GMPD"
