Order,Species,Description of reservoir status,Reference,conservative,liberal,No evidence ,
Carnivora,Acinonyx jubatus,,,0,0,1,
Carnivora,Ailuropoda melanoleuca,,,0,0,1,
Carnivora,Ailurus fulgens,,,0,0,1,
Carnivora,Aonyx capensis,,,0,0,1,
Carnivora,Aonyx cinerea,,,0,0,1,
Carnivora,Arctictis binturong,,,0,0,1,
Carnivora,Arctocephalus australis,,,0,0,1,
Carnivora,Arctocephalus forsteri,,,0,0,1,
Carnivora,Arctocephalus galapagoensis,,,0,0,1,
Carnivora,Arctocephalus gazella,,,0,0,1,
Carnivora,Arctocephalus philippii,,,0,0,1,
Carnivora,Arctocephalus pusillus,,,0,0,1,
Carnivora,Arctocephalus townsendi,,,0,0,1,
Carnivora,Arctocephalus tropicalis,,,0,0,1,
Carnivora,Arctogalidia trivirgata,,,0,0,1,
Carnivora,Arctonyx collaris,,,0,0,1,
Carnivora,Atelocynus microtis,,,0,0,1,
Carnivora,Bassaricyon alleni,,,0,0,1,
Carnivora,Bassaricyon beddardi,,,0,0,1,
Carnivora,Bassaricyon gabbii,,,0,0,1,
Carnivora,Bassaricyon lasius,,,0,0,1,
Carnivora,Bassaricyon pauli,,,0,0,1,
Carnivora,Bassariscus astutus,,,0,0,1,
Carnivora,Bassariscus sumichrasti,,,0,0,1,
Carnivora,Bdeogale crassicauda,,,0,0,1,
Carnivora,Bdeogale jacksoni,,,0,0,1,
Carnivora,Bdeogale nigripes,,,0,0,1,
Carnivora,Callorhinus ursinus,,,0,0,1,
Carnivora,Canis simensis,,,0,0,1,
Carnivora,Caracal caracal,,,0,0,1,
Carnivora,Catopuma badia,,,0,0,1,
Carnivora,Catopuma temminckii,,,0,0,1,
Carnivora,Chrotogale owstoni,,,0,0,1,
Carnivora,Chrysocyon brachyurus,,,0,0,1,
Carnivora,Conepatus chinga,,,0,0,1,
Carnivora,Conepatus humboldtii,,,0,0,1,
Carnivora,Conepatus leuconotus,,,0,0,1,
Carnivora,Conepatus semistriatus,,,0,0,1,
Carnivora,Crossarchus alexandri,,,0,0,1,
Carnivora,Crossarchus ansorgei,,,0,0,1,
Carnivora,Crossarchus obscurus,,,0,0,1,
Carnivora,Cryptoprocta ferox,,,0,0,1,
Carnivora,Cuon alpinus,,,0,0,1,
Carnivora,Cynogale bennettii,,,0,0,1,
Carnivora,Cystophora cristata,,,0,0,1,
Carnivora,Diplogale hosei,,,0,0,1,
Carnivora,Dologale dybowskii,,,0,0,1,
Carnivora,Dusicyon australis,,,0,0,1,
Carnivora,Eira barbara,,,0,0,1,
Carnivora,Enhydra lutris,,,0,0,1,
Carnivora,Erignathus barbatus,,,0,0,1,
Carnivora,Eumetopias jubatus,,,0,0,1,
Carnivora,Eupleres goudotii,,,0,0,1,
Carnivora,Felis bieti,,,0,0,1,
Carnivora,Felis catus,,,0,0,1,
Carnivora,Felis chaus,,,0,0,1,
Carnivora,Felis manul,,,0,0,1,
Carnivora,Felis margarita,,,0,0,1,
Carnivora,Felis nigripes,,,0,0,1,
Carnivora,Felis silvestris,,,0,0,1,
Carnivora,Fossa fossana,,,0,0,1,
Carnivora,Galerella flavescens,,,0,0,1,
Carnivora,Galerella ochracea,,,0,0,1,
Carnivora,Galerella pulverulenta,,,0,0,1,
Carnivora,Galictis cuja,,,0,0,1,
Carnivora,Galictis vittata,,,0,0,1,
Carnivora,Galidia elegans,,,0,0,1,
Carnivora,Galidictis fasciata,,,0,0,1,
Carnivora,Galidictis grandidieri,,,0,0,1,
Carnivora,Genetta abyssinica,,,0,0,1,
Carnivora,Genetta angolensis,,,0,0,1,
Carnivora,Genetta cristata,,,0,0,1,
Carnivora,Genetta genetta,,,0,0,1,
Carnivora,Genetta johnstoni,,,0,0,1,
Carnivora,Genetta maculata,,,0,0,1,
Carnivora,Genetta pardina,,,0,0,1,
Carnivora,Genetta piscivora,,,0,0,1,
Carnivora,Genetta servalina,,,0,0,1,
Carnivora,Genetta thierryi,,,0,0,1,
Carnivora,Genetta tigrina,,,0,0,1,
Carnivora,Genetta victoriae,,,0,0,1,
Carnivora,Gulo gulo,,,0,0,1,
Carnivora,Halichoerus grypus,,,0,0,1,
Carnivora,Helarctos malayanus,,,0,0,1,
Carnivora,Helogale hirtula,,,0,0,1,
Carnivora,Helogale parvula,,,0,0,1,
Carnivora,Hemigalus derbyanus,,,0,0,1,
Carnivora,Herpestes brachyurus,,,0,0,1,
Carnivora,Herpestes edwardsi,,,0,0,1,
Carnivora,Herpestes fuscus,,,0,0,1,
Carnivora,Herpestes ichneumon,,,0,0,1,
Carnivora,Herpestes naso,,,0,0,1,
Carnivora,Herpestes semitorquatus,,,0,0,1,
Carnivora,Herpestes smithii,,,0,0,1,
Carnivora,Herpestes urva,,,0,0,1,
Carnivora,Herpestes vitticollis,,,0,0,1,
Carnivora,Histriophoca fasciata,,,0,0,1,
Carnivora,Hyaena brunnea,,,0,0,1,
Carnivora,Hyaena hyaena,,,0,0,1,
Carnivora,Hydrictis maculicollis,,,0,0,1,
Carnivora,Hydrurga leptonyx,,,0,0,1,
Carnivora,Ichneumia albicauda,,,0,0,1,
Carnivora,Ictonyx libyca,,,0,0,1,
Carnivora,Ictonyx striatus,,,0,0,1,
Carnivora,Leopardus braccatus,,,0,0,1,
Carnivora,Leopardus colocolo,,,0,0,1,
Carnivora,Leopardus geoffroyi,,,0,0,1,
Carnivora,Leopardus guigna,,,0,0,1,
Carnivora,Leopardus jacobitus,,,0,0,1,
Carnivora,Leopardus pajeros,,,0,0,1,
Carnivora,Leopardus pardalis,,,0,0,1,
Carnivora,Leopardus tigrinus,,,0,0,1,
Carnivora,Leopardus wiedii,,,0,0,1,
Carnivora,Leptailurus serval,,,0,0,1,
Carnivora,Leptonychotes weddellii,,,0,0,1,
Carnivora,Liberiictis kuhni,,,0,0,1,
Carnivora,Lobodon carcinophaga,,,0,0,1,
Carnivora,Lontra canadensis,,,0,0,1,
Carnivora,Lontra felina,,,0,0,1,
Carnivora,Lontra longicaudis,,,0,0,1,
Carnivora,Lontra provocax,,,0,0,1,
Carnivora,Lutra lutra,,,0,0,1,
Carnivora,Lutra nippon,,,0,0,1,
Carnivora,Lutra sumatrana,,,0,0,1,
Carnivora,Lutrogale perspicillata,,,0,0,1,
Carnivora,Lycalopex culpaeus,,,0,0,1,
Carnivora,Lycalopex fulvipes,,,0,0,1,
Carnivora,Lycalopex griseus,,,0,0,1,
Carnivora,Lycalopex gymnocercus,,,0,0,1,
Carnivora,Lycaon pictus,,,0,0,1,
Carnivora,Lyncodon patagonicus,,,0,0,1,
Carnivora,Lynx canadensis,,,0,0,1,
Carnivora,Lynx lynx,,,0,0,1,
Carnivora,Lynx pardinus,,,0,0,1,
Carnivora,Lynx rufus,,,0,0,1,
Carnivora,Macrogalidia musschenbroekii,,,0,0,1,
Carnivora,Martes americana,,,0,0,1,
Carnivora,Martes flavigula,,,0,0,1,
Carnivora,Martes foina,,,0,0,1,
Carnivora,Martes gwatkinsii,,,0,0,1,
Carnivora,Martes martes,,,0,0,1,
Carnivora,Martes melampus,,,0,0,1,
Carnivora,Martes pennanti,,,0,0,1,
Carnivora,Martes zibellina,,,0,0,1,
Carnivora,Meles meles,,,0,0,1,
Carnivora,Mellivora capensis,,,0,0,1,
Carnivora,Melogale everetti,,,0,0,1,
Carnivora,Melogale orientalis,,,0,0,1,
Carnivora,Melogale personata,,,0,0,1,
Carnivora,Melursus ursinus,,,0,0,1,
Carnivora,Mephitis macroura,,,0,0,1,
Carnivora,Mirounga angustirostris,,,0,0,1,
Carnivora,Mirounga leonina,,,0,0,1,
Carnivora,Monachus monachus,,,0,0,1,
Carnivora,Monachus schauinslandi,,,0,0,1,
Carnivora,Monachus tropicalis,,,0,0,1,
Carnivora,Mungos gambianus,,,0,0,1,
Carnivora,Mungos mungo,,,0,0,1,
